Subject	miRNA	Mean	StdDev	SampleSize	Class
54	FY	12.9894	0.1373	3	B
54	FZ	4.22	0.2497	3	B
55	FX	15.7799	0.1374	3	B
55	FY	17.2287	0.1664	3	B
55	FZ	12.7274	0.176	3	B
56	FX	12.5431	0.1571	3	B
56	FY	12.6185	0.2183	3	B
56	FZ	8.4009	0.147	3	B
57	FX	14.3975	0.0739	3	C
57	FY	15.4254	0.1598	3	C
57	FZ	8.9919	0.2393	3	C
58	FX	14.4323	0.2819	3	B
58	FY	14.6876	0.1153	3	B
58	FZ	11.716	0.0585	3	B
59	FX	14.456	0.1212	3	B
59	FY	13.9213	0.3044	3	B
59	FZ	11.1208	0.1229	3	B
6	FX	15.0797	0.1476	3	A
6	FY	15.0544	0.094	3	A
6	FZ	8.1169	0.1321	3	A
60	FX	10.6236	0.2579	3	C
60	FY	16.6265	0.1165	3	C
60	FZ	10.0436	0.1512	3	C
61	FX	15.3296	0.0838	3	C
61	FY	17.7067	0.3882	3	C
61	FZ	12.9712	0.0477	3	C
62	FX	13.9859	0.1039	3	A
62	FY	19.4527	0.3824	3	A
62	FZ	7.8535	0.3037	3	A
63	FX	11.6433	0.2864	3	A
63	FY	12.9132	0.1987	3	A
63	FZ	5.3724	0.3115	3	A
64	FX	10.1215	0.1128	3	A
64	FY	15.0429	0.1002	3	A
64	FZ	5.3005	0.1255	3	A
65	FX	16.0971	0.1502	3	B
65	FY	12.8172	0.1738	3	B
65	FZ	12.9589	0.1595	3	B
66	FX	21.7726	1.0228	3	A
66	FY	16.5984	0.4449	3	A
66	FZ	13.7897	0.1895	3	A
67	FX	13.4317	0.1834	3	B
67	FY	16.891	0.2375	3	B
67	FZ	9.9399	0.1299	3	B
68	FX	7.1357	0.0255	3	A
68	FY	13.9972	0.1599	3	A
68	FZ	2.3742	0.2952	3	A
69	FX	18.0295	0.1168	3	B
69	FY	12.3555	0.1645	3	B
69	FZ	15.3535	0.2263	3	B
7	FX	9.8938	0.1679	3	B
7	FY	14.5702	0.1719	3	B
7	FZ	8.2456	0.0335	3	B
70	FX	13.8526	0.2448	3	A
70	FY	17.0113	0.1997	3	A
70	FZ	9.1541	0.2027	3	A
71	FX	9.6219	0.4754	3	C
71	FY	13.8588	0.2128	3	C
71	FZ	6.4377	0.1285	3	C
72	FX	15.1165	0.1904	3	B
72	FY	13.3324	0.1755	3	B
72	FZ	12.2611	0.2326	3	B
73	FX	12.1918	0.1312	3	A
73	FY	18.9756	0.1159	3	A
73	FZ	6.2507	0.1901	3	A
74	FX	6.8436	0.0602	3	A
74	FY	10.9915	0.0669	3	A
74	FZ	-0.6185	0.0714	3	A
75	FX	9.5078	0.2702	3	C
75	FY	13.7004	0.1599	3	C
75	FZ	6.1326	0.1736	3	C
76	FX	11.3331	0.1072	3	A
76	FY	12.5052	0.8333	3	A
76	FZ	4.6163	0.1614	3	A
77	FX	14.9754	1.5163	3	A
77	FY	15.1115	0.147	3	A
77	FZ	7.7939	0.0348	3	A
78	FX	15.0368	0.0826	3	A
78	FY	14.8334	0.0804	3	A
78	FZ	9.5063	0.0706	3	A
79	FX	13.615	0.1384	3	A
79	FY	15.1495	0.1346	3	A
79	FZ	7.7575	0.2642	3	A
8	FX	12.0431	0.1011	3	C
8	FY	12.9621	0.154	3	C
8	FZ	8.7851	0.2955	3	C
80	FX	16.33	0.1243	3	A
80	FY	17.9871	0.0481	3	A
80	FZ	9.0094	0.1481	3	A
81	FX	13.2631	0.2314	3	B
81	FY	13.9009	1.4286	3	B
81	FZ	9.447	0.2349	3	B
82	FX	16.0953	0.1273	3	A
82	FY	16.6987	0.3585	3	A
82	FZ	9.9018	0.2594	3	A
83	FX	13.6945	0.3962	3	A
83	FY	16.1351	0.1999	3	A
83	FZ	8.4924	0.3486	3	A
84	FX	10.548	0.178	3	A
84	FY	17.2667	0.0307	3	A
84	FZ	4.3656	0.1861	3	A
85	FX	13.9478	0.0218	3	B
85	FY	14.5979	0.1364	3	B
85	FZ	10.6097	0.1815	3	B
86	FX	14.8919	0.2964	3	A
86	FY	15.6869	0.2146	3	A
86	FZ	9.1387	0.3125	3	A
87	FX	10.7961	1.2292	3	C
87	FY	15.6059	0.2539	3	C
87	FZ	7.1161	0.263	3	C
88	FX	11.0787	0.0372	3	C
88	FY	17.4644	0.2841	3	C
88	FZ	8.153	0.061	3	C
89	FX	10.3267	0.1144	3	A
89	FY	14.311	0.1561	3	A
89	FZ	4.5841	0.0679	3	A
9	FX	9.731	0.2808	3	A
9	FY	14.5116	0.2016	3	A
9	FZ	1.8604	0.2488	3	A
90	FX	13.3824	0.1808	3	B
90	FY	15.212	0.1725	3	B
90	FZ	10.2225	0.2613	3	B
91	FX	7.442	0.152	3	B
91	FY	13.6291	0.1612	3	B
91	FZ	4.8357	0.0461	3	B
92	FX	11.0888	0.1073	3	A
92	FY	16.4765	0.433	3	A
92	FZ	4.392	0.0817	3	A
93	FX	7.0191	0.2866	3	C
93	FY	14.6037	0.1376	3	C
93	FZ	4.0514	0.1545	3	C
94	FX	10.2086	0.1011	3	C
94	FY	12.494	0.1765	3	C
94	FZ	8.044	0.1437	3	C
95	FX	14.1675	0.4016	3	B
95	FY	13.1515	0.1258	3	B
95	FZ	10.9974	0.0946	3	B
96	FX	8.3862	0.3654	3	A
96	FY	14.4778	0.2159	3	A
96	FZ	2.7172	0.1048	3	A
97	FX	17.1135	0.0689	3	C
97	FY	12.8391	0.1444	3	C
97	FZ	13.4889	0.077	3	C
98	FX	6.9628	0.3171	3	C
98	FY	18.0274	0.1719	3	C
98	FZ	2.3504	0.1245	3	C
99	FX	16.0278	0.2163	3	A
99	FY	15.7286	0.2783	3	A
99	FZ	10.771	0.1308	3	A
